Column,Description,Tag,Description,Answer Choices,Logic
366,"When you see inappropriate content or behavior on social media, what do you do? -Ignore",QID287-3,Multiple Answer Choice Question ( all that apply ),Ignore,
367,"When you see inappropriate content or behavior on social media, what do you do? -Other",QID287-4,Multiple Answer Choice Question ( all that apply ),Other,
368,"When you see inappropriate content or behavior on social media, what do you do? -Avoid the platform where it happened",QID287-5,Multiple Answer Choice Question ( all that apply ),Avoid the platform where it happened,
369,"When you see inappropriate content or behavior on social media, what do you do? -Confront the responsible person",QID287-6,Multiple Answer Choice Question ( all that apply ),Confront the responsible person,
370,You have reached the end of these optional questions. Thank you so much for your time! You can go...,QID271,Descriptive text / 1 (seen by respondent) empty (not seen by respondent),"1, empty",
371,The Role of the Private Sector   Deep dive into youth perceptions on the role of business in the...,QID335,Descriptive text / 1 (seen by respondent) empty (not seen by respondent),"1, empty",
372,How confident are you that you have the necessary skills to have a successful career?-Not confident at all:Extremely confident,QID323-1,Single Answer Choice,"Not confident at all:Extremely confident (1,2,3,4,5)",
373,What are your three (3) biggest concerns about your job prospects when you apply for a new job? (...-Not enough jobs,QID235-1,Multiple Answer Choice Question ( up to 3),Not enough jobs,
374,What are your three (3) biggest concerns about your job prospects when you apply for a new job? (...-Lack of experience,QID235-2,Multiple Answer Choice Question ( up to 3),Lack of experience,
375,What are your three (3) biggest concerns about your job prospects when you apply for a new job? (...-Lack of the right education / skills,QID235-3,Multiple Answer Choice Question ( up to 3),Lack of the right education / skills,
376,What are your three (3) biggest concerns about your job prospects when you apply for a new job? (...-Luck plays a big role,QID235-4,Multiple Answer Choice Question ( up to 3),Luck plays a big role,
377,What are your three (3) biggest concerns about your job prospects when you apply for a new job? (...-Lack of presentation / soft skills,QID235-5,Multiple Answer Choice Question ( up to 3),Lack of presentation / soft skills,
378,What are your three (3) biggest concerns about your job prospects when you apply for a new job? (...-Lack of language skills,QID235-6,Multiple Answer Choice Question ( up to 3),Lack of language skills,
379,What are your three (3) biggest concerns about your job prospects when you apply for a new job? (...-Lack of friend / mentor networks in companies,QID235-7,Multiple Answer Choice Question ( up to 3),Lack of friend / mentor networks in companies,
380,What are your three (3) biggest concerns about your job prospects when you apply for a new job? (...-Good Jobs don't get advertised,QID235-8,Multiple Answer Choice Question ( up to 3),Good Jobs don't get advertised,
381,What are your three (3) biggest concerns about your job prospects when you apply for a new job? (...-Too much competition,QID235-9,Multiple Answer Choice Question ( up to 3),Too much competition,
382,What are your three (3) biggest concerns about your job prospects when you apply for a new job? (...-Geographical constraints,QID235-10,Multiple Answer Choice Question ( up to 3),Geographical constraints,
383,What are your three (3) biggest concerns about your job prospects when you apply for a new job? (...-Discrimination by employers,QID235-11,Multiple Answer Choice Question ( up to 3),Discrimination by employers,
384,What are your three (3) biggest concerns about your job prospects when you apply for a new job? (...-I don't have any concerns,QID235-12,Multiple Answer Choice Question ( up to 3),I don't have any concerns,
385,What are your three (3) biggest concerns about your job prospects when you apply for a new job? (...-Other,QID235-13,Multiple Answer Choice Question ( up to 3),Other,
386,"Once you have started your working career, what kind of additional education would you be willing...-Advanced university degree / Masters",QID247-1,Multiple Answer Choice Question ( all that apply ),Advanced university degree / Masters,
387,"Once you have started your working career, what kind of additional education would you be willing...-MBA",QID247-2,Multiple Answer Choice Question ( all that apply ),MBA,
388,"Once you have started your working career, what kind of additional education would you be willing...-Advanced academic degree / PhD",QID247-3,Multiple Answer Choice Question ( all that apply ),Advanced academic degree / PhD,
389,"Once you have started your working career, what kind of additional education would you be willing...-Vocational training (plumbing, carpenter, etc.)",QID247-4,Multiple Answer Choice Question ( all that apply ),"Vocational training (plumbing, carpenter, etc.)",
390,"Once you have started your working career, what kind of additional education would you be willing...-Professional services qualification (law, accountancy, etc.))",QID247-5,Multiple Answer Choice Question ( all that apply ),"Professional services qualification (law, accountancy, etc.))",
391,"Once you have started your working career, what kind of additional education would you be willing...-Other",QID247-6,Multiple Answer Choice Question ( all that apply ),Other,
392,"Once you have started your working career, what kind of additional education would you be willing...-Certification for specific skills (including online certification)",QID247-7,Multiple Answer Choice Question ( all that apply ),Certification for specific skills (including online certification),
393,"Once you have started your working career, what kind of additional education would you be willing...-First university degree / Bachelors",QID247-9,Multiple Answer Choice Question ( all that apply ),First university degree / Bachelors,
394,"Once you have started your working career, what kind of additional education would you be willing...-None",QID247-10,Multiple Answer Choice Question ( all that apply ),None,
395,What kind of company would you most like to work for?,QID248,Single Answer Choice,"A start up (new organisation that just started operations), A small company (under 50 employees), A medium company (51-250 employees), A large company (250+ employees), A big multinational company, I would rather work for myself, I have no preference, None of these, Other",
396,Why would like to work for this kind of company? (choose up to 3)-To be more Financially Secure,QID249-1,Multiple Answer Choice Question ( up to 3),To be more Financially Secure,
397,Why would like to work for this kind of company? (choose up to 3)-To be Wealthier than I am now,QID249-2,Multiple Answer Choice Question ( up to 3),To be Wealthier than I am now,
398,Why would like to work for this kind of company? (choose up to 3)-To Travel more,QID249-3,Multiple Answer Choice Question ( up to 3),To Travel more,
399,Why would like to work for this kind of company? (choose up to 3)-To have Time for Myself / Family,QID249-4,Multiple Answer Choice Question ( up to 3),To have Time for Myself / Family,
400,Why would like to work for this kind of company? (choose up to 3)-To increase my Skills,QID249-5,Multiple Answer Choice Question ( up to 3),To increase my Skills,
401,Why would like to work for this kind of company? (choose up to 3)-To have more Responsibilities,QID249-6,Multiple Answer Choice Question ( up to 3),To have more Responsibilities,
402,Why would like to work for this kind of company? (choose up to 3)-To meet more People,QID249-7,Multiple Answer Choice Question ( up to 3),To meet more People,
403,Why would like to work for this kind of company? (choose up to 3)-To be more Creative,QID249-8,Multiple Answer Choice Question ( up to 3),To be more Creative,
404,Why would like to work for this kind of company? (choose up to 3)-To be more Independent,QID249-9,Multiple Answer Choice Question ( up to 3),To be more Independent,
405,Why would like to work for this kind of company? (choose up to 3)-To be Respected by my Community,QID249-10,Multiple Answer Choice Question ( up to 3),To be Respected by my Community,
406,Why would like to work for this kind of company? (choose up to 3)-Other,QID249-11,Multiple Answer Choice Question ( up to 3),Other,
407,Why would like to work for this kind of company? (choose up to 3)-To create more Impact,QID249-12,Multiple Answer Choice Question ( up to 3),To create more Impact,
408,Why would like to work for this kind of company? (choose up to 3)-To be more powerful,QID249-13,Multiple Answer Choice Question ( up to 3),To be more powerful,
409,Why would like to work for this kind of company? (choose up to 3)-To work in a less stressful environment,QID249-15,Multiple Answer Choice Question ( up to 3),To work in a less stressful environment,
410,Which department in a traditional company do you find to be the least effective? (choose 1),QID255,Single Answer Choice,"Executives, Human ressources, Research and development, Technology support, Sales, Customer services, Accounting, Marketing / communications, Legal, Internal hospitality and maintenance, Security, None, Other",
411,What characteristics do you value the most in the people that you work with? (choose up to 3)-Self-motivated & positive attitude,QID327-32,Multiple Answer Choice Question ( up to 3),Self-motivated & positive attitude,
412,What characteristics do you value the most in the people that you work with? (choose up to 3)-Effective at making decisions,QID327-33,Multiple Answer Choice Question ( up to 3),Effective at making decisions,
413,What characteristics do you value the most in the people that you work with? (choose up to 3)-Creative / effective at exploring possibilities / including encouraging others to do the same,QID327-34,Multiple Answer Choice Question ( up to 3),Creative / effective at exploring possibilities / including encouraging others to do the same,
414,What characteristics do you value the most in the people that you work with? (choose up to 3)-Effective at executing decisions / implementation / delegates effectively,QID327-35,Multiple Answer Choice Question ( up to 3),Effective at executing decisions / implementation / delegates effectively,
415,What characteristics do you value the most in the people that you work with? (choose up to 3)-Participates in getting work done without micromanaging,QID327-36,Multiple Answer Choice Question ( up to 3),Participates in getting work done without micromanaging,
416,What characteristics do you value the most in the people that you work with? (choose up to 3)-Shares / exposes own vulnerabilities,QID327-37,Multiple Answer Choice Question ( up to 3),Shares / exposes own vulnerabilities,
417,What characteristics do you value the most in the people that you work with? (choose up to 3)-Embraces diversity / treats everyone the same / has no favourites,QID327-38,Multiple Answer Choice Question ( up to 3),Embraces diversity / treats everyone the same / has no favourites,
418,What characteristics do you value the most in the people that you work with? (choose up to 3)-Willingness to learn from others (including patience and flexibility),QID327-39,Multiple Answer Choice Question ( up to 3),Willingness to learn from others (including patience and flexibility),
419,"What characteristics do you value the most in the people that you work with? (choose up to 3)-Warm, approachable and has empathy for others",QID327-40,Multiple Answer Choice Question ( up to 3),"Warm, approachable and has empathy for others",
420,What characteristics do you value the most in the people that you work with? (choose up to 3)-Integrity / honesty,QID327-41,Multiple Answer Choice Question ( up to 3),Integrity / honesty,
421,What characteristics do you value the most in the people that you work with? (choose up to 3)-Effective communicator (includes listening well),QID327-42,Multiple Answer Choice Question ( up to 3),Effective communicator (includes listening well),
422,What characteristics do you value the most in the people that you work with? (choose up to 3)-Track record of past achievements,QID327-43,Multiple Answer Choice Question ( up to 3),Track record of past achievements,
423,What characteristics do you value the most in the people that you work with? (choose up to 3)-Contributes to a fun environment,QID327-44,Multiple Answer Choice Question ( up to 3),Contributes to a fun environment,
424,What characteristics do you value the most in the people that you work with? (choose up to 3)-Self-belief and confidence,QID327-45,Multiple Answer Choice Question ( up to 3),Self-belief and confidence,
425,What characteristics do you value the most in the people that you work with? (choose up to 3)-Other,QID327-46,Multiple Answer Choice Question ( up to 3),Other,
426,What characteristics do you value the most in the people that you work with? (choose up to 3)-I don't know,QID327-47,Multiple Answer Choice Question ( up to 3),I don't know,
427,What characteristics would you value the most in your manager? (choose up to 3)-Self-Motivated & Positive Attitude,QID256-32,Multiple Answer Choice Question ( up to 3),Self-Motivated & Positive Attitude,
428,What characteristics would you value the most in your manager? (choose up to 3)-Effective at Making Decisions,QID256-33,Multiple Answer Choice Question ( up to 3),Effective at Making Decisions,
429,What characteristics would you value the most in your manager? (choose up to 3)-Creative / Effective at exploring possibilities / including encouraging others to do the same,QID256-34,Multiple Answer Choice Question ( up to 3),Creative / Effective at exploring possibilities / including encouraging others to do the same,
430,What characteristics would you value the most in your manager? (choose up to 3)-Effective at Executing Decisions / Implementation / Delegates effectively,QID256-35,Multiple Answer Choice Question ( up to 3),Effective at Executing Decisions / Implementation / Delegates effectively,
431,What characteristics would you value the most in your manager? (choose up to 3)-Participates in getting work done without micromanaging,QID256-36,Multiple Answer Choice Question ( up to 3),Participates in getting work done without micromanaging,
432,What characteristics would you value the most in your manager? (choose up to 3)-Shares / Exposes own vulnerabilities,QID256-37,Multiple Answer Choice Question ( up to 3),Shares / Exposes own vulnerabilities,
433,What characteristics would you value the most in your manager? (choose up to 3)-Embraces diversity / Treats everyone the same / Has no favourites,QID256-38,Multiple Answer Choice Question ( up to 3),Embraces diversity / Treats everyone the same / Has no favourites,
434,What characteristics would you value the most in your manager? (choose up to 3)-Willingness to learn from Others (including Patience and Flexibility),QID256-39,Multiple Answer Choice Question ( up to 3),Willingness to learn from Others (including Patience and Flexibility),
435,"What characteristics would you value the most in your manager? (choose up to 3)-Warm, approachable and has empathy for others",QID256-40,Multiple Answer Choice Question ( up to 3),"Warm, approachable and has empathy for others",
436,What characteristics would you value the most in your manager? (choose up to 3)-Integrity / Honesty,QID256-41,Multiple Answer Choice Question ( up to 3),Integrity / Honesty,
437,What characteristics would you value the most in your manager? (choose up to 3)-Effective Communicator (includes Listening well),QID256-42,Multiple Answer Choice Question ( up to 3),Effective Communicator (includes Listening well),
438,What characteristics would you value the most in your manager? (choose up to 3)-Track record of past achievements,QID256-43,Multiple Answer Choice Question ( up to 3),Track record of past achievements,
439,What characteristics would you value the most in your manager? (choose up to 3)-Contributes to a Fun environment,QID256-44,Multiple Answer Choice Question ( up to 3),Contributes to a Fun environment,
440,What characteristics would you value the most in your manager? (choose up to 3)-Self-Belief and Confidence,QID256-45,Multiple Answer Choice Question ( up to 3),Self-Belief and Confidence,
441,What characteristics would you value the most in your manager? (choose up to 3)-Other,QID256-46,Multiple Answer Choice Question ( up to 3),Other,
442,What characteristics would you value the most in your manager? (choose up to 3)-I don't know,QID256-47,Multiple Answer Choice Question ( up to 3),I don't know,
443,What makes you feel most valued in the work place? (choose 1),QID258,Single Answer Choice,"Receiving a good salary, Being given important responsibilities, My ideas being listened to by my superiors and implemented, Being given people to manage, Being consulted before final decisions are made, Having opportunities to grow professionally, I don't know, Other",
444, Which of the following descriptions come closest to your attitude towards work/life balance?,QID251,Single Answer Choice,"I prefer to do the bare minimum at work and enjoy life, I am willing to sacrifice work and salary to enjoy life, I don't believe in work/life balance, I think it should be part of the employer's mandate to ensure work/life balance, I think there’s an over emphasis on work/life balance, I prefer to work as much as possible, I will find balance later, Other",
445,What do you think companies should do to improve work/life balance? (choose up to 3)-Reduce working hours,QID326-1,Multiple Answer Choice Question ( up to 3),Reduce working hours,
446,"What do you think companies should do to improve work/life balance? (choose up to 3)-Increase salaries and allowances (gym, child care, ...)",QID326-2,Multiple Answer Choice Question ( up to 3),"Increase salaries and allowances (gym, child care, ...)",
447,"What do you think companies should do to improve work/life balance? (choose up to 3)-Introduce flexible work options (working from home, flexible hours)",QID326-3,Multiple Answer Choice Question ( up to 3),"Introduce flexible work options (working from home, flexible hours)",
448,What do you think companies should do to improve work/life balance? (choose up to 3)-Forbid emails / calls outside working hours,QID326-4,Multiple Answer Choice Question ( up to 3),Forbid emails / calls outside working hours,
449,"What do you think companies should do to improve work/life balance? (choose up to 3)-Provide facilities (child care, gym, ...)",QID326-5,Multiple Answer Choice Question ( up to 3),"Provide facilities (child care, gym, ...)",
450,What do you think companies should do to improve work/life balance? (choose up to 3)-Include non-work performance metrics,QID326-6,Multiple Answer Choice Question ( up to 3),Include non-work performance metrics,
451,What do you think companies should do to improve work/life balance? (choose up to 3)-Apply strict office closing time,QID326-7,Multiple Answer Choice Question ( up to 3),Apply strict office closing time,
452,What do you think companies should do to improve work/life balance? (choose up to 3)-Offer more hollidays,QID326-8,Multiple Answer Choice Question ( up to 3),Offer more hollidays,
453,What do you think companies should do to improve work/life balance? (choose up to 3)-I don't know,QID326-9,Multiple Answer Choice Question ( up to 3),I don't know,
454,What do you think companies should do to improve work/life balance? (choose up to 3)-Allowing time for personal projects,QID326-10,Multiple Answer Choice Question ( up to 3),Allowing time for personal projects,
455,What do you think companies should do to improve work/life balance? (choose up to 3)-Other,QID326-11,Multiple Answer Choice Question ( up to 3),Other,
456,What do you think companies should do to improve work/life balance? (choose up to 3)-Increase lunch hours,QID326-12,Multiple Answer Choice Question ( up to 3),Increase lunch hours,
457,What do you think companies should do to improve work/life balance? (choose up to 3)-Provide rooms to rest,QID326-13,Multiple Answer Choice Question ( up to 3),Provide rooms to rest,
458,What do you think companies should do to improve work/life balance? (choose up to 3)-Not do anything,QID326-14,Multiple Answer Choice Question ( up to 3),Not do anything,
459,Do you agree with the following statement? Companies should be involved in addressing social prob...-Strongly disagree:Strongly agree,QID252-1,Single Answer Choice,"Strongly disagree:Strongly agree (1,2,3,4,5)",
460,How do you decide whether a company is responsible or not? (choose as many as applicable)-Annual reports,QID280-1,Multiple Answer Choice Question ( all that apply ),Annual reports,
461,How do you decide whether a company is responsible or not? (choose as many as applicable)-Media reports,QID280-2,Multiple Answer Choice Question ( all that apply ),Media reports,
462,How do you decide whether a company is responsible or not? (choose as many as applicable)-Industry reports,QID280-3,Multiple Answer Choice Question ( all that apply ),Industry reports,
463,How do you decide whether a company is responsible or not? (choose as many as applicable)-Insider stories,QID280-4,Multiple Answer Choice Question ( all that apply ),Insider stories,
464,How do you decide whether a company is responsible or not? (choose as many as applicable)-Friends / network,QID280-5,Multiple Answer Choice Question ( all that apply ),Friends / network,
465,How do you decide whether a company is responsible or not? (choose as many as applicable)-I don't know,QID280-6,Multiple Answer Choice Question ( all that apply ),I don't know,
466,How do you decide whether a company is responsible or not? (choose as many as applicable)-Other,QID280-7,Multiple Answer Choice Question ( all that apply ),Other,
467,How do you decide whether a company is responsible or not? (choose as many as applicable)-Online articles / commentary,QID280-9,Multiple Answer Choice Question ( all that apply ),Online articles / commentary,
468,How do you decide whether a company is responsible or not? (choose as many as applicable)-Sustainability / social responsibility reports,QID280-10,Multiple Answer Choice Question ( all that apply ),Sustainability / social responsibility reports,
469,How do you decide whether a company is responsible or not? (choose as many as applicable)-This is not important to me,QID280-13,Multiple Answer Choice Question ( all that apply ),This is not important to me,
470,"If there was a union in my work place, I would join it.",QID259,Single Answer Choice,"Yes, No, I don't know",
471,Do you discuss work outside work?,QID260,Single Answer Choice,"Always, Sometimes, Never",
472," Outside work, who do you discuss work with?-Family",QID261-1,Multiple Answer Choice Question ( all that apply ),Family,Answer If Do you discuss work outside work? Always Is Selected Or Do you discuss work outside work? Sometimes Is Selected
473," Outside work, who do you discuss work with?-Car / taxi drivers",QID261-2,Multiple Answer Choice Question ( all that apply ),Car / taxi drivers,
474," Outside work, who do you discuss work with?-Hairdresser / barber shop",QID261-3,Multiple Answer Choice Question ( all that apply ),Hairdresser / barber shop,
475," Outside work, who do you discuss work with?-Anyone",QID261-4,Multiple Answer Choice Question ( all that apply ),Anyone,
476," Outside work, who do you discuss work with?-Friends",QID261-5,Multiple Answer Choice Question ( all that apply ),Friends,
477," Outside work, who do you discuss work with?-Colleagues",QID261-6,Multiple Answer Choice Question ( all that apply ),Colleagues,
478," Outside work, who do you discuss work with?-My pet(s)",QID261-7,Multiple Answer Choice Question ( all that apply ),My pet(s),
479," Outside work, who do you discuss work with?-Religious / spiritual leaders",QID261-8,Multiple Answer Choice Question ( all that apply ),Religious / spiritual leaders,
480," Outside work, who do you discuss work with?-My therapist",QID261-9,Multiple Answer Choice Question ( all that apply ),My therapist,
481," Outside work, who do you discuss work with?-Other",QID261-10,Multiple Answer Choice Question ( all that apply ),Other,
482,"When you learn that a company is doing something that you disagree with, what do you do?-Stop buying its products / services",QID262-1,Multiple Answer Choice Question ( all that apply ),Stop buying its products / services,
483,"When you learn that a company is doing something that you disagree with, what do you do?-Join a protest movement",QID262-2,Multiple Answer Choice Question ( all that apply ),Join a protest movement,
484,"When you learn that a company is doing something that you disagree with, what do you do?-Nothing / it does not change my behaviour",QID262-3,Multiple Answer Choice Question ( all that apply ),Nothing / it does not change my behaviour,
485,"When you learn that a company is doing something that you disagree with, what do you do?-Spread the word",QID262-4,Multiple Answer Choice Question ( all that apply ),Spread the word,
486,"When you learn that a company is doing something that you disagree with, what do you do?-Contact the company",QID262-5,Multiple Answer Choice Question ( all that apply ),Contact the company,
487,"When you learn that a company is doing something that you disagree with, what do you do?-Other",QID262-7,Multiple Answer Choice Question ( all that apply ),Other,
488,You have reached the end of these optional questions. Thank you so much for your time! You can go...,QID272,Descriptive text / 1 (seen by respondent) empty (not seen by respondent),"1, empty",
